,accord,droits,type
FRA,Accord association UE,0.0,ALE
DEU,Accord association UE,0.0,ALE
USA,Accord libre-échange,0.0,ALE
ESP,Accord association UE,0.0,ALE
ITA,Accord association UE,0.0,ALE
NLD,Accord association UE,0.0,ALE
BEL,Accord association UE,0.0,ALE
GBR,Accord préférentiel,2.5,PREF
CAN,NPF standard,5.0,NPF
JPN,NPF standard,5.0,NPF
SAU,Accord GAFTA,0.0,ALE
ARE,Accord GAFTA,0.0,ALE
QAT,Accord GAFTA,0.0,ALE
KWT,Accord GAFTA,0.0,ALE
CHN,NPF standard,8.0,NPF
KOR,NPF standard,5.0,NPF
SGP,NPF standard,0.0,NPF
AUS,NPF standard,5.0,NPF
NOR,Accord AELE,0.0,ALE
CHE,Accord AELE,0.0,ALE
