source,keyword,date,product,reason,classification,status,country,recalling_firm
FDA,sardine,20211117,"WEL-PAC Brand Shrimp Dashi No Moto - Powdered Shrimp Stock;      Net Wt. 1.75 oz. (0.35.oz x 5 bags) 49.6 g  UPC: 0 11152 83660 7    Product of Japan;  Imported by JFC International Inc., Los Angeles,","Manufacturer notified US supplier that powdered shrimp stock did not declare fish (hydrolyzed protein that contains bonito, sardine and tuna), on the label.",Class I,Terminated,USA,J F C International Inc
FDA,sardine,20230303,Daisho Kimchi hotpot soup  750g UPC: 4904621042653,Label warns for fish but does not specify anchovy or sardine; Canada lists clams in ingredients but not in contains statement.,Class III,Terminated,USA,DAISO CALIFORNIA WAREHOUSE
FDA,sardine,20150612,"Baked Seasoned Sardine Ambient Okabe (Iwashi Senbei)  Net Wt.: 77GR/2.65oz      Ingredients:  Sardines, Sugar, Milk Protein Hydrolysate, Soy Sauce (Water, Soybean, Wheat, Salt), Sweet Cooking Wine, Se","Mitsuwa Corporation is initiating a recall of Baked Seasoned Sardine Okabe (Asuri Washi Shiokoki), Baked Seasoned Sardine Ambient Okabe (Iwashi Senbei), and Baked Seasoned Goby Okabe (Osakana Roll) due to not refrigerating the products when labeled to be kept refrigerated.",Class II,Terminated,USA,Mitsuwa Corporation
FDA,sardine,20150612,"Baked Seasoned Goby Okabe (Osakana Roll)  Net Wt.: 65GR/2.29oz      Ingredients:  Goby, Sugar, Salt, Sorbitol, Monosodium Glutamate    Keep Refrigerated  SKU: 4 971455 081738  Product of Japan    Expo","Mitsuwa Corporation is initiating a recall of Baked Seasoned Sardine Okabe (Asuri Washi Shiokoki), Baked Seasoned Sardine Ambient Okabe (Iwashi Senbei), and Baked Seasoned Goby Okabe (Osakana Roll) due to not refrigerating the products when labeled to be kept refrigerated.",Class II,Terminated,USA,Mitsuwa Corporation
FDA,sardine,20150612,"Baked Seasoned Sardine Okabe (Asuri Washi Shiokoki)  Net Wt.: 70GR/2.47oz  SKU: 4 971455 081714    Ingredients:  Sardine, Salted Rice Malt, Sugar, Sorbitol, Monosodium Glutamate    Keep Refrigerated  ","Mitsuwa Corporation is initiating a recall of Baked Seasoned Sardine Okabe (Asuri Washi Shiokoki), Baked Seasoned Sardine Ambient Okabe (Iwashi Senbei), and Baked Seasoned Goby Okabe (Osakana Roll) due to not refrigerating the products when labeled to be kept refrigerated.",Class II,Terminated,USA,Mitsuwa Corporation
FDA,dates,20141010,Crema GuateLinda (Guatemalan Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Crema GuateLinda Guatemalan Style Cream Net WT 1 LB (16 oz),"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a pri",Class I,Terminated,USA,"Oasis Brands, Inc"
FDA,dates,20120910,#234 Bulk Watermelon	234	2.5 pounds  and #050 Watermelon Tray	16 ounces,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20t",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20120910,#333 Caribbean Fruit Salad	5 pounds,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20131107,"Garden-Fresh,	Seafood Salad Rouille,	1/5 lb.,		0 11596 55187 6,	12/6/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Garden-Fresh,	Red Cabbage Shredded,	1/5 lb.,		0 11596 50590,  	Manufactured on 10/28/2013 - 11/6/2013;  Garden-Fresh,	Red Cabbage Shredded	4/5 lb.,		0 11596 50592 3,	10/28/2013 - 11/6/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20170607,"Kite Hill Almond Yogurt, Peach,  NET WT.  5.3 oz (150G)    Case UPC: 8-56624-00415-9    Distributed by Lyrical Foods, Hayward, CA.",Lyrical Foods is voluntarily recalling four flavors of Kite Hill Almond Yogurt with best by dates 07/03/17 and 07/04/17 as some of these packages have spoiled before the best by date.,Class II,Terminated,USA,Lyrical Foods Inc
FDA,dates,20120910,#024 Diced Pepper & Onions	9 ounces,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20t",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20170912,"Natural Grocers Organic Deglet Noor Dates, Target weight is 0.60 - 0.70 lb random weight package, Zip lock plastic bag.",Recalling Natural Grocers brand Organic Deglet Dates because it may contain undeclared coconut,Class II,Terminated,USA,"Vitamin Cottage Natural Food Markets, Inc."
FDA,dates,20131107,"Garden-Fresh,	Sweet & Sour Cucumber,	2/5 lb.,		 0 11596 52014 8,	11/15/2013 - 11/30/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Grandpa's	,Red Skin Potato Salad,	2/5 lb.,		0 11596 51080 4,	11/22/2013 - 12/10/2013;  Grandpa's,	Red Skin Potato Salad,	12/16 oz,.	0 11596 14061 2,	0 11596 24061 9,	11/25/2013 - 12/10/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Copperwood Kitchens,	Steakhouse Macaroni Salad,	2/5 lb.,		8 11839 01018 0,	12/5/2013","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20191103,Mann's Rainbow Slaw  6 x 12 oz. UPC: 716519013089 - Canada - Mann  6 x 12 oz. UPC:  716519013089 - SS   Same UPC.  Two films: one for Canada and one for US.      Rainbow Salad 6/12 OZ GE   UPC: 300349,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,Class I,Terminated,USA,"Mann Packing Company, Inc."
FDA,dates,20120910,#301 Creamy Redskin Potato Salad	5 pounds,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20t",Class II,Terminated,USA,Spartan Central Kitchen
