texte,niveau,source
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,RASFF
Ciprodinilo en Mango de Colombia // Ciprodinil in Colombian mangoes  | fruits and vegetables | cyprodinil   - {pesticide residues} | Colombia,CRITIQUE,RASFF
Undeclared consignements of frozen strawberries | fruits and vegetables |  | Egypt,ATTENTION,RASFF
Detection of Listeria monocytogenes in pre-sliced Atlantic smoked salmon | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | France,CRITIQUE,RASFF
Detection of Listeria monocytogenes in smoked salmon trimmings | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Belgium,CRITIQUE,RASFF
"Pesticide residues above MRL in Chilipepper from Thailand | fruits and vegetables | carbofuran   - {pesticide residues},clothianidin   - {pesticide residues},dinotefuran  unauthorised substance - {pesticide residues},ethion   - {pesticide residues},fipronil  unauthorised substance - {pesticide residues},propargite   - {pesticide residues},thiamethoxam   - {pesticide residues},tolfenpyrad   - {pesticide residues} | Thailand",ATTENTION,RASFF
Listeria monocytogenes in cold-smoked salmon from the Netherlands | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Netherlands,CRITIQUE,RASFF
Kasturi Methi leaves from India | herbs and spices |  | India,CRITIQUE,RASFF
Glass pieces in vanilla powder | cereals and bakery products |  | South Africa,ATTENTION,RASFF
"Pesticides residues in Barbary fig from Colombia  | fruits and vegetables | cypermethrin   - {pesticide residues},dithiocarbamates   - {pesticide residues},omethoate   - {pesticide residues} | Colombia",CRITIQUE,RASFF
"Pesticides residues in chili peppers from Rwanda | fruits and vegetables | acetamiprid   - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues} | Rwanda",CRITIQUE,RASFF
Too much ochratoxin A in crushed paprika from Kosovo. | herbs and spices | ochratoxin A   - {mycotoxins} | Kosovo,CRITIQUE,RASFF
"Nitrate in arugula from Italy, via the Netherlands | fruits and vegetables | nitrate  too high content - {environmental pollutants} | Italy",INFO,RASFF
Clothianidin in rice from Pakistan | cereals and bakery products | clothianidin   - {pesticide residues} | Pakistan,CRITIQUE,RASFF
"Stwierdzenie przekroczenia NDP pozostałości pestycydu w ziarnie sezamu łuszczonego z Indii/// Detection of exceedance of the MRL for pesticide residues in peeled sesame seeds from India. | nuts, nut products and seeds | haloxyfop  unauthorised substance - {pesticide residues} | India",CRITIQUE,RASFF
"Aflatoxines in groundnut Kernels splits from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Argentina",CRITIQUE,RASFF
"Hepatitis A Virus in a frozen berry mix from Serbia, via Germany | fruits and vegetables | hepatitis A virus   - {pathogenic micro-organisms} | Serbia",CRITIQUE,RASFF
Lead pitted green olives from Morocco | fruits and vegetables | heavy metals   - {heavy metals} | Morocco,CRITIQUE,RASFF
Beans Kenya Pesticide Residue | fruits and vegetables | flutriafol   - {pesticide residues} | Kenya,CRITIQUE,RASFF
Undeclared allergen peanut on Baklava from Germany | cereals and bakery products |  | Germany,CRITIQUE,RASFF
Monocrotophos in bottle gourds from India | fruits and vegetables | monocrotophos  unauthorised substance - {pesticide residues} | India,CRITIQUE,RASFF
Unauthorised pesticide fenobucarb in peppercorns from Bosnia and Herzegovina  via Slovenia | herbs and spices | fenobucarb   - {pesticide residues} | Vietnam,ATTENTION,RASFF
Norovirus in nori (roasted seaweed) | fruits and vegetables | norovirus   - {pathogenic micro-organisms} | South Korea,CRITIQUE,RASFF
Excessive nitrate content in Italian rucola via Hungary | fruits and vegetables | nitrate  too high content - {environmental pollutants} | Italy,INFO,RASFF
Bacillus cereus in ground cinnamon from Madagascar | herbs and spices | Bacillus cereus  - {pathogenic micro-organisms} | Madagascar,CRITIQUE,RASFF
"Alérgeno no declarado (pescado) en complemento alimenticio procedente de España // Undeclared allergen (fish) in food supplement from Spain | dietetic foods, food supplements and fortified foods |  | Spain",CRITIQUE,RASFF
"Aflatoxine B1 in groundnuts kernels | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,RASFF
"Unauthorised novel food frozen snail meat of the genus Pomacea (or Pila) from Vietnam, via the Czech Republic | fish and fish products | import declaration missing  - {adulteration / fraud},novel food  unauthorised - {novel food} | Vietnam",ATTENTION,RASFF
"Aflatoxins in blanched groundnut kernels from China | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | China",CRITIQUE,RASFF
"Aflatoxins in peanut powder from Uganda | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Uganda",ATTENTION,RASFF
Mould growth found on Village Bakery Crumpets from UK  | cereals and bakery products |  | United Kingdom,INFO,RASFF
"MOAH in green peas, from the Philippines  | fruits and vegetables | mineral oil aromatic hydrocarbons (MOAH)  - {environmental pollutants} | Philippines",CRITIQUE,RASFF
Risk of foreign bodies (plastic) in spice mills containing pepper and garlic from Germany | herbs and spices |  | Germany,INFO,RASFF
Beans Kenya Pesticide Residue | fruits and vegetables | bifenthrin   - {pesticide residues} | Kenya,CRITIQUE,RASFF
Monocrotophos in prickly pears from Mexico | fruits and vegetables | monocrotophos  unauthorised substance - {pesticide residues} | Mexico,CRITIQUE,RASFF
"Aflatoxin in groundnut kernels from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Argentina",CRITIQUE,RASFF
Detección de proteína de leche no declarada en etiquetado en galletas procedentes de España//Milk not declared on the Spanish label of salted crackers     | cereals and bakery products | milk  presence - {allergens} | Hungary,CRITIQUE,RASFF
Unapproved substance carbofuran in lime from Brazil via the Netherlands | fruits and vegetables | carbofuran   - {pesticide residues} | Brazil,CRITIQUE,RASFF
"Peppers Egypt Pesticide Residue  | fruits and vegetables | chlorfenapyr  unauthorised substance - {pesticide residues},clothianidin   - {pesticide residues},imidacloprid   - {pesticide residues} | Egypt",CRITIQUE,RASFF
Tebufenpyrad in Zingiber officinale extract from Italy | herbs and spices | tebufenpyrad   - {pesticide residues} | China,CRITIQUE,RASFF
Beans Kenya Pesticide Residue | fruits and vegetables | flutriafol   - {pesticide residues} | Kenya,CRITIQUE,RASFF
Dragon Fruit Vietnam Pesticide Residu | fruits and vegetables | iprodione   - {pesticide residues} | Vietnam,CRITIQUE,RASFF
Salmonella spp. in salted and dried fish from Thailand | fish and fish products | Salmonella spp.  - {pathogenic micro-organisms} | Thailand,CRITIQUE,RASFF
