texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant,source
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1,RASFF
Ciprodinilo en Mango de Colombia // Ciprodinil in Colombian mangoes  | fruits and vegetables | cyprodinil   - {pesticide residues} | Colombia,CRITIQUE,fruits and vegetables,border rejection notification,serious,Colombia,2026,5,1,RASFF
Undeclared consignements of frozen strawberries | fruits and vegetables |  | Egypt,ATTENTION,fruits and vegetables,information notification for follow-up,potential risk,Egypt,2026,5,1,RASFF
Detection of Listeria monocytogenes in pre-sliced Atlantic smoked salmon | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | France,CRITIQUE,fish and fish products,alert notification,serious,France,2026,5,1,RASFF
Detection of Listeria monocytogenes in smoked salmon trimmings | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Belgium,CRITIQUE,fish and fish products,alert notification,serious,Belgium,2026,5,1,RASFF
"Pesticide residues above MRL in Chilipepper from Thailand | fruits and vegetables | carbofuran   - {pesticide residues},clothianidin   - {pesticide residues},dinotefuran  unauthorised substance - {pesticide residues},ethion   - {pesticide residues},fipronil  unauthorised substance - {pesticide residues},propargite   - {pesticide residues},thiamethoxam   - {pesticide residues},tolfenpyrad   - {pesticide residues} | Thailand",ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Thailand,2026,5,1,RASFF
Listeria monocytogenes in cold-smoked salmon from the Netherlands | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Netherlands,CRITIQUE,fish and fish products,alert notification,serious,Netherlands,2026,5,1,RASFF
Kasturi Methi leaves from India | herbs and spices |  | India,CRITIQUE,herbs and spices,border rejection notification,potential risk,India,2026,5,1,RASFF
Glass pieces in vanilla powder | cereals and bakery products |  | South Africa,ATTENTION,cereals and bakery products,information notification for attention,potentially serious,South Africa,2026,5,1,RASFF
"Pesticides residues in Barbary fig from Colombia  | fruits and vegetables | cypermethrin   - {pesticide residues},dithiocarbamates   - {pesticide residues},omethoate   - {pesticide residues} | Colombia",CRITIQUE,fruits and vegetables,alert notification,serious,Colombia,2026,5,1,RASFF
"Pesticides residues in chili peppers from Rwanda | fruits and vegetables | acetamiprid   - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues} | Rwanda",CRITIQUE,fruits and vegetables,border rejection notification,serious,Rwanda,2026,5,1,RASFF
Too much ochratoxin A in crushed paprika from Kosovo. | herbs and spices | ochratoxin A   - {mycotoxins} | Kosovo,CRITIQUE,herbs and spices,border rejection notification,serious,Kosovo,2026,5,1,RASFF
"Nitrate in arugula from Italy, via the Netherlands | fruits and vegetables | nitrate  too high content - {environmental pollutants} | Italy",INFO,fruits and vegetables,information notification for attention,not serious,Italy,2026,5,1,RASFF
Clothianidin in rice from Pakistan | cereals and bakery products | clothianidin   - {pesticide residues} | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2026,5,1,RASFF
"Stwierdzenie przekroczenia NDP pozostałości pestycydu w ziarnie sezamu łuszczonego z Indii/// Detection of exceedance of the MRL for pesticide residues in peeled sesame seeds from India. | nuts, nut products and seeds | haloxyfop  unauthorised substance - {pesticide residues} | India",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,India,2026,5,1,RASFF
"Aflatoxines in groundnut Kernels splits from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Argentina,2026,5,1,RASFF
"Hepatitis A Virus in a frozen berry mix from Serbia, via Germany | fruits and vegetables | hepatitis A virus   - {pathogenic micro-organisms} | Serbia",CRITIQUE,fruits and vegetables,alert notification,serious,Serbia,2026,5,1,RASFF
Lead pitted green olives from Morocco | fruits and vegetables | heavy metals   - {heavy metals} | Morocco,CRITIQUE,fruits and vegetables,information notification for attention,serious,Morocco,2026,5,1,RASFF
Beans Kenya Pesticide Residue | fruits and vegetables | flutriafol   - {pesticide residues} | Kenya,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Kenya,2026,5,1,RASFF
Undeclared allergen peanut on Baklava from Germany | cereals and bakery products |  | Germany,CRITIQUE,cereals and bakery products,information notification for attention,serious,Germany,2026,5,1,RASFF
Monocrotophos in bottle gourds from India | fruits and vegetables | monocrotophos  unauthorised substance - {pesticide residues} | India,CRITIQUE,fruits and vegetables,border rejection notification,serious,India,2026,5,1,RASFF
Unauthorised pesticide fenobucarb in peppercorns from Bosnia and Herzegovina  via Slovenia | herbs and spices | fenobucarb   - {pesticide residues} | Vietnam,ATTENTION,herbs and spices,information notification for follow-up,potentially serious,Vietnam,2026,5,1,RASFF
Norovirus in nori (roasted seaweed) | fruits and vegetables | norovirus   - {pathogenic micro-organisms} | South Korea,CRITIQUE,fruits and vegetables,information notification for attention,serious,South Korea,2026,5,1,RASFF
Excessive nitrate content in Italian rucola via Hungary | fruits and vegetables | nitrate  too high content - {environmental pollutants} | Italy,INFO,fruits and vegetables,information notification for attention,not serious,Italy,2026,5,1,RASFF
Bacillus cereus in ground cinnamon from Madagascar | herbs and spices | Bacillus cereus  - {pathogenic micro-organisms} | Madagascar,CRITIQUE,herbs and spices,alert notification,serious,Madagascar,2026,5,1,RASFF
"Alérgeno no declarado (pescado) en complemento alimenticio procedente de España // Undeclared allergen (fish) in food supplement from Spain | dietetic foods, food supplements and fortified foods |  | Spain",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Spain,2026,5,1,RASFF
"Aflatoxine B1 in groundnuts kernels | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,5,1,RASFF
"Unauthorised novel food frozen snail meat of the genus Pomacea (or Pila) from Vietnam, via the Czech Republic | fish and fish products | import declaration missing  - {adulteration / fraud},novel food  unauthorised - {novel food} | Vietnam",ATTENTION,fish and fish products,information notification for follow-up,potential risk,Vietnam,2026,5,1,RASFF
"Aflatoxins in blanched groundnut kernels from China | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | China",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,China,2026,5,1,RASFF
"Aflatoxins in peanut powder from Uganda | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Uganda",ATTENTION,"nuts, nut products and seeds",information notification for attention,potentially serious,Uganda,2026,5,1,RASFF
Mould growth found on Village Bakery Crumpets from UK  | cereals and bakery products |  | United Kingdom,INFO,cereals and bakery products,information notification for attention,not serious,United Kingdom,2026,5,1,RASFF
"MOAH in green peas, from the Philippines  | fruits and vegetables | mineral oil aromatic hydrocarbons (MOAH)  - {environmental pollutants} | Philippines",CRITIQUE,fruits and vegetables,information notification for attention,serious,Philippines,2026,5,1,RASFF
Risk of foreign bodies (plastic) in spice mills containing pepper and garlic from Germany | herbs and spices |  | Germany,INFO,herbs and spices,information notification for follow-up,not serious,Germany,2026,5,1,RASFF
Beans Kenya Pesticide Residue | fruits and vegetables | bifenthrin   - {pesticide residues} | Kenya,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Kenya,2026,5,1,RASFF
Monocrotophos in prickly pears from Mexico | fruits and vegetables | monocrotophos  unauthorised substance - {pesticide residues} | Mexico,CRITIQUE,fruits and vegetables,alert notification,serious,Mexico,2026,5,1,RASFF
"Aflatoxin in groundnut kernels from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,5,1,RASFF
Detección de proteína de leche no declarada en etiquetado en galletas procedentes de España//Milk not declared on the Spanish label of salted crackers     | cereals and bakery products | milk  presence - {allergens} | Hungary,CRITIQUE,cereals and bakery products,information notification for attention,serious,Hungary,2026,5,1,RASFF
Unapproved substance carbofuran in lime from Brazil via the Netherlands | fruits and vegetables | carbofuran   - {pesticide residues} | Brazil,CRITIQUE,fruits and vegetables,alert notification,serious,Brazil,2026,5,1,RASFF
"Peppers Egypt Pesticide Residue  | fruits and vegetables | chlorfenapyr  unauthorised substance - {pesticide residues},clothianidin   - {pesticide residues},imidacloprid   - {pesticide residues} | Egypt",CRITIQUE,fruits and vegetables,border rejection notification,serious,Egypt,2026,5,1,RASFF
