texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1
Salmonella in soya bean meal from Argentina | feed materials | Salmonella cubana  - {pathogenic micro-organisms} | Argentina,ATTENTION,feed materials,information notification for follow-up,potentially serious,Argentina,2026,5,0
Ciprodinilo en Mango de Colombia // Ciprodinil in Colombian mangoes  | fruits and vegetables | cyprodinil   - {pesticide residues} | Colombia,CRITIQUE,fruits and vegetables,border rejection notification,serious,Colombia,2026,5,1
Consignment frozen fried bean curd skipped veterinary controls in Border Control Post. | other food product / mixed |  | South Korea,INFO,other food product / mixed,information notification for follow-up,not serious,South Korea,2026,5,0
Undeclared consignements of frozen strawberries | fruits and vegetables |  | Egypt,ATTENTION,fruits and vegetables,information notification for follow-up,potential risk,Egypt,2026,5,1
Detection of Listeria monocytogenes in pre-sliced Atlantic smoked salmon | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | France,CRITIQUE,fish and fish products,alert notification,serious,France,2026,5,1
Salmonella Kapemba in chilled minced pork meat from Poland. | meat and meat products (other than poultry) | Salmonella   - {non-pathogenic micro-organisms} | Poland,CRITIQUE,meat and meat products (other than poultry),information notification for attention,serious,Poland,2026,5,0
Salmonella in rape seed flour | feed materials | Salmonella   - {pathogenic micro-organisms} | Poland,INFO,feed materials,information notification for follow-up,not serious,Poland,2026,5,0
" presence of metal foreign objects, such as metal shavings, in candies  | confectionery |  | France",ATTENTION,confectionery,information notification for attention,potentially serious,France,2026,5,0
Border Rejection of Consignment of Nylon Kitchen Utensils from Great Britain due to Incomplete Documentation | food contact materials |  | China,CRITIQUE,food contact materials,border rejection notification,potential risk,China,2026,5,0
Foreign bodies (glass and plastic shards) in rotisserie skewers from Poland | meat and meat products (other than poultry) | foreign body   - {foreign bodies} | Poland,CRITIQUE,meat and meat products (other than poultry),alert notification,serious,Poland,2026,5,0
Detection of Listeria monocytogenes in smoked salmon trimmings | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Belgium,CRITIQUE,fish and fish products,alert notification,serious,Belgium,2026,5,1
"Pesticide residues above MRL in Chilipepper from Thailand | fruits and vegetables | carbofuran   - {pesticide residues},clothianidin   - {pesticide residues},dinotefuran  unauthorised substance - {pesticide residues},ethion   - {pesticide residues},fipronil  unauthorised substance - {pesticide residues},propargite   - {pesticide residues},thiamethoxam   - {pesticide residues},tolfenpyrad   - {pesticide residues} | Thailand",ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Thailand,2026,5,1
Listeria monocytogenes in cold-smoked salmon from the Netherlands | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Netherlands,CRITIQUE,fish and fish products,alert notification,serious,Netherlands,2026,5,1
Salmonella spp. w hemoglobine wieprzowej pochodzącej z Belgii // Salmonella spp. in hemoglobin powder from Belgium  | feed materials | Salmonella   - {pathogenic micro-organisms} | Belgium,ATTENTION,feed materials,information notification for follow-up,potential risk,Belgium,2026,5,0
Presence of Listeria monocytogenes in cheese  | milk and milk products | Listeria monocytogenes  - {pathogenic micro-organisms} | Spain,CRITIQUE,milk and milk products,alert notification,serious,Spain,2026,5,0
"undeclared allergens mustard and egg in a dressing | soups, broths, sauces and condiments |  | Netherlands",CRITIQUE,"soups, broths, sauces and condiments",alert notification,serious,Netherlands,2026,5,0
Δ9-THC in gummy candies from the United States | confectionery | tetrahydrocanabinol (THC)  unauthorised substance - {composition} | United States,CRITIQUE,confectionery,information notification for attention,serious,United States,2026,5,0
"Consignmnet stock with chicken, and mayonnaise has passed the BCP of Rotterdam without veterinary checks | soups, broths, sauces and condiments |  | Türkiye",ATTENTION,"soups, broths, sauces and condiments",information notification for follow-up,potential risk,Türkiye,2026,5,0
"Salmonella infantis and newport in frozen chicken meat from Poland | poultry meat and poultry meat products | Salmonella Newport  - {pathogenic micro-organisms},Salmonella infantis  - {pathogenic micro-organisms} | Poland",INFO,poultry meat and poultry meat products,information notification for follow-up,not serious,Poland,2026,5,0
composite products  from India - Discrepancy between consignment and accompanying documents | other food product / mixed |  | India,CRITIQUE,other food product / mixed,border rejection notification,potential risk,India,2026,5,0
Incorrect labeling of snacks from Afghanistan. | prepared dishes and snacks |  | Afghanistan,CRITIQUE,prepared dishes and snacks,border rejection notification,not serious,Afghanistan,2026,5,0
